version,group,sample,scenario,keys,resolve_ms,replay_ms,drained_ms,gets,batches,blob_requests,wire_blob_bytes,demand_fetched
before,0,0,inline-local,128,41.907959,42.411708,42.632083,128,5,8,17236962,2447
before,0,1,inline-local,128,40.437334,46.280333,46.541458,128,10,27,17268305,2649
before,0,2,inline-local,128,40.523208,44.008292,44.265125000000005,128,11,26,17268005,2589
before,0,3,inline-local,128,34.367458,35.127708,35.4735,128,8,19,17260434,2497
before,0,4,inline-local,128,42.702166999999996,46.895459,47.090292,128,10,38,17270837,2632
before,0,5,inline-local,128,40.955332999999996,44.332083000000004,44.602999999999994,128,9,34,17271789,2388
before,0,6,inline-local,128,42.198667,48.259292,48.52,128,12,32,17279085,2484
before,0,7,inline-local,128,41.204249999999995,44.569875,44.852875,128,8,21,17255063,2527
before,0,8,inline-local,128,41.404541,45.861958,46.112208,128,9,23,17251307,2296
before,0,9,inline-local,128,46.908875,47.94875,48.073458,128,10,34,17280238,2635
before,0,0,snapshot-local,128,3.81225,43.547541,43.683291,1,207,6359,21788518,466
before,0,1,snapshot-local,128,5.556542,41.922209,42.061417,1,227,6755,23204379,615
before,0,2,snapshot-local,128,4.234417,56.766709,56.928084,1,256,7456,25741888,884
before,0,3,snapshot-local,128,4.663125,43.412791999999996,43.686167,1,231,6869,23586468,722
before,0,4,snapshot-local,128,3.722958,57.800958,57.939667,1,244,7275,25127833,749
before,0,5,snapshot-local,128,3.079917,47.616333,47.7625,1,255,7333,25184546,712
before,0,6,snapshot-local,128,2.655125,43.293584,43.415958999999994,1,214,6632,22904569,485
before,0,7,snapshot-local,128,2.923375,48.123417,48.286584,1,275,7874,27249341,804
before,0,8,snapshot-local,128,7.780041,41.901624999999996,42.095124999999996,1,199,6682,22705825,458
before,0,9,snapshot-local,128,6.301292,54.334791,54.45425,1,215,6853,23117311,439
after,0,0,inline-local,128,42.699915999999995,43.283375,43.603875,128,0,0,17228818,2688
after,0,1,inline-local,128,41.881542,48.217584,48.401292,128,4,4,17238197,2599
after,0,2,inline-local,128,45.317083000000004,48.687792,48.9975,128,5,9,17248152,2567
after,0,3,inline-local,128,41.424958999999994,44.526792,44.787,128,1,1,17229395,2573
after,0,4,inline-local,128,42.219209,42.687458,42.951,128,2,2,17233507,2546
after,0,5,inline-local,128,42.020666,42.437125,42.599958,128,2,4,17234384,2632
after,0,6,inline-local,128,41.34075,42.034541000000004,42.176875,128,2,2,17233507,2629
after,0,7,inline-local,128,42.460083000000004,47.676,47.817041999999994,128,4,6,17239351,2551
after,0,8,inline-local,128,42.886541,43.364083,43.575541,128,4,6,17242885,2603
after,0,9,inline-local,128,42.667584,44.176666000000004,44.334875000000004,128,3,3,17230272,2567
after,0,0,snapshot-local,128,5.818708,48.710292,48.971792,1,186,5208,16844433,180
after,0,1,snapshot-local,128,6.255917,43.123166999999995,43.252582999999994,1,198,5775,18796725,501
after,0,2,snapshot-local,128,6.029875,44.809834,45.050667000000004,1,228,6181,19655308,479
after,0,3,snapshot-local,128,22.488958,44.476834,44.647625000000005,1,188,5479,17817549,714
after,0,4,snapshot-local,128,35.375792000000004,48.711584,48.819792,1,210,5738,18468224,977
after,0,5,snapshot-local,128,7.8520829999999995,47.572542000000006,47.784042,1,236,6733,21663323,858
after,0,6,snapshot-local,128,7.060625,45.439333,45.57,1,235,6554,20971706,767
after,0,7,snapshot-local,128,6.649457999999999,42.394167,42.611959,1,208,6135,19890037,467
after,0,8,snapshot-local,128,7.0595,45.337458,45.580083,1,210,6108,19827724,687
after,0,9,snapshot-local,128,6.175624999999999,46.64675,46.855667,1,227,6197,19827942,616
after,1,0,inline-local,128,58.547792,59.065709,59.388042,128,2,2,17229971,2690
after,1,1,inline-local,128,55.0875,55.495959,55.745042000000005,128,4,4,17238196,2632
after,1,2,inline-local,128,50.81575,51.708459,53.218624999999996,128,3,6,17239347,2599
after,1,3,inline-local,128,68.713292,69.24,69.406583,128,11,14,17254566,2517
after,1,4,inline-local,128,60.9745,66.70287499999999,66.945667,128,6,6,17239348,2591
after,1,5,inline-local,128,51.143458,51.5105,51.671333,128,4,4,17238196,2595
after,1,6,inline-local,128,45.714834,46.256625,46.543625,128,3,4,17234659,2620
after,1,7,inline-local,128,50.201875,50.657334,50.910959,128,3,3,17230271,2633
after,1,8,inline-local,128,93.124375,93.905042,94.35375,128,10,16,17244284,2476
after,1,9,inline-local,128,77.462917,77.8855,78.221,128,5,6,17232276,2679
after,1,0,snapshot-local,128,6.903042,56.762874999999994,56.952999999999996,1,221,6357,20617171,942
after,1,1,snapshot-local,128,4.4480830000000005,72.25125,72.370167,1,219,6143,20111618,1608
after,1,2,snapshot-local,128,6.966333,49.259375,49.40025,1,222,6235,20050049,584
after,1,3,snapshot-local,128,7.630917,55.47625,55.756083,1,193,5669,18445003,582
after,1,4,snapshot-local,128,25.392208,68.061667,68.163292,1,178,5458,17919346,1210
after,1,5,snapshot-local,128,7.9388749999999995,52.366292,52.542333,1,221,6106,19517331,661
after,1,6,snapshot-local,128,9.540291,48.196834,48.50625,1,215,5998,19261809,639
after,1,7,snapshot-local,128,6.059666,49.70675,49.865292,1,190,5614,18265847,506
after,1,8,snapshot-local,128,1.9033330000000002,105.564542,106.96875,1,191,5859,18997563,729
after,1,9,snapshot-local,128,3.572666,71.245666,71.4465,1,215,6101,19475041,579
before,1,0,inline-local,128,47.927208,53.575042,53.706334,128,11,34,17265817,2997
before,1,1,inline-local,128,42.533165999999994,47.972666999999994,48.217208,128,10,23,17255667,2669
before,1,2,inline-local,128,45.916416,52.005458,52.156333,128,11,30,17277661,2818
before,1,3,inline-local,128,45.268041000000004,48.713042,48.924625,128,11,39,17292355,2833
before,1,4,inline-local,128,47.722583,55.114125,55.403708,128,12,28,17265345,2609
before,1,5,inline-local,128,46.024083,46.416167,46.640167000000005,128,10,28,17272691,2691
before,1,6,inline-local,128,42.244083,48.457375,48.620916,128,10,23,17266005,2524
before,1,7,inline-local,128,45.271083,46.274834,46.4525,128,9,24,17270391,2841
before,1,8,inline-local,128,44.498999999999995,47.936167000000005,48.057458,128,9,22,17262443,2719
before,1,9,inline-local,128,43.6755,44.266291,44.531625,128,6,21,17272471,2660
before,1,0,snapshot-local,128,2.6162910000000004,45.506291,45.614666,1,257,7538,26054386,601
before,1,1,snapshot-local,128,3.042125,51.371958,51.607375,1,252,7231,24741954,601
before,1,2,snapshot-local,128,4.607125,55.121916999999996,55.297709,1,262,7599,25970972,817
before,1,3,snapshot-local,128,6.969666,59.436542,59.537583,1,262,7605,25957846,645
before,1,4,snapshot-local,128,2.2125,53.923458000000004,54.53275,1,265,7743,26668328,680
before,1,5,snapshot-local,128,12.622625,48.945875,49.057167,1,215,6388,22012917,319
before,1,6,snapshot-local,128,4.250833,47.388542,47.563917,1,262,7548,25983170,745
before,1,7,snapshot-local,128,3.997333,48.746833,48.876749999999994,1,225,6734,23342643,565
before,1,8,snapshot-local,128,11.793875,47.559834,47.767458999999995,1,226,6960,24013792,587
before,1,9,snapshot-local,128,19.671750000000003,48.531791999999996,48.714875,1,227,6641,22516331,374
