version,repetition,scenario,keys,resolve_ms,replay_ms,drained_ms,gets,batches,blob_requests,wire_blob_bytes,demand_fetched
before,0,inline-local,128,39.438125,41.418792,41.636958,128,6,16,17258707,2286
before,0,inline-20ms,128,3044.214042,3045.825917,3046.666625,128,16,16,17238034,2290
before,0,fallback-20ms,128,3024.5551659999996,3072.0676249999997,3072.328167,128,261,5815,18750118,1094
before,0,snapshot-local,128,3.0283749999999996,65.307041,65.631041,1,258,7188,24883062,869
before,0,snapshot-20ms,128,1.79175,297.30025,297.71475,1,188,6293,21205569,159
before,0,snapshot-60ms,128,2.740083,815.292375,815.769584,1,189,6354,21383992,131
before,0,fallback-20ms-5mib,128,4913.891291,4996.035457999999,4996.440041999999,128,267,6071,19471402,857
before,0,snapshot-20ms-20mib,128,3.134792,1153.218167,1153.6223340000001,1,189,6513,21784990,203
after,0,inline-local,128,47.161875,47.748959,48.1215,128,0,0,17228818,2720
after,0,inline-20ms,128,3037.92175,3038.608125,3039.0574579999998,128,2,2,17233507,2784
after,0,fallback-20ms,128,2951.299834,3006.716958,3007.118375,128,288,4741,15174933,2748
after,0,snapshot-local,128,12.432042000000001,63.280375,63.4445,1,251,6612,20940517,615
after,0,snapshot-20ms,128,2.374917,304.059209,304.45425,1,151,4952,16456523,1071
after,0,snapshot-60ms,128,3.895667,788.437083,788.652625,1,154,4867,16189643,938
after,0,fallback-20ms-5mib,128,4144.642042,4221.617917,4221.800375,128,277,4742,15179046,2729
after,0,snapshot-20ms-20mib,128,3.101,853.619417,853.887959,1,147,4793,15950675,1438
after,1,inline-local,128,48.176708,48.5655,48.746917,128,0,0,17228818,2586
after,1,inline-20ms,128,2949.79975,3013.857458,3020.311417,128,4,4,17231126,2683
after,1,fallback-20ms,128,2875.506542,2931.969459,2932.497875,128,295,4746,15184612,2695
after,1,snapshot-local,128,6.7976659999999995,46.196166,46.323291000000005,1,179,5158,16881659,230
after,1,snapshot-20ms,128,1.964542,285.78016699999995,285.97733400000004,1,171,5363,17728712,936
after,1,snapshot-60ms,128,2.0125,704.992208,705.181167,1,150,4812,16019267,1141
after,1,fallback-20ms-5mib,128,3885.807667,3960.911792,3961.129167,128,264,4741,15174933,2734
after,1,snapshot-20ms-20mib,128,1.853375,879.9476659999999,880.117291,1,152,4950,16448577,1280
before,1,inline-local,128,48.470082999999995,48.882667,49.025209,128,9,29,17283604,2498
before,1,inline-20ms,128,2882.0515,2882.3385,2882.588,128,13,13,17236308,2301
before,1,fallback-20ms,128,2852.931708,2883.946375,2884.169667,128,257,5701,18384160,1014
before,1,snapshot-local,128,3.33325,49.169,49.377958,1,232,6974,23872686,457
before,1,snapshot-20ms,128,2.45775,283.934042,284.07824999999997,1,191,6589,22102486,204
before,1,snapshot-60ms,128,1.393584,769.028084,769.31175,1,183,6331,21151881,157
before,1,fallback-20ms-5mib,128,4320.009625,4417.06075,4417.430667,128,256,5893,18861824,921
